2026-03-29 14:30:29,426 INFO    MainThread:58431 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-29 14:30:29,427 INFO    MainThread:58431 [wandb_setup.py:_flush():81] Configure stats pid to 58431
2026-03-29 14:30:29,427 INFO    MainThread:58431 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-29 14:30:29,427 INFO    MainThread:58431 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/shreyamagar16/Desktop/dl-gen-ai/wandb/run-20260329_143029-0m12lfh2/logs/debug.log
2026-03-29 14:30:29,427 INFO    MainThread:58431 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/shreyamagar16/Desktop/dl-gen-ai/wandb/run-20260329_143029-0m12lfh2/logs/debug-internal.log
2026-03-29 14:30:29,427 INFO    MainThread:58431 [wandb_init.py:init():844] calling init triggers
2026-03-29 14:30:29,427 INFO    MainThread:58431 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-29 14:30:29,427 INFO    MainThread:58431 [wandb_init.py:init():892] starting backend
2026-03-29 14:30:31,310 INFO    MainThread:58431 [wandb_init.py:init():895] sending inform_init request
2026-03-29 14:30:31,356 INFO    MainThread:58431 [wandb_init.py:init():903] backend started and connected
2026-03-29 14:30:31,513 INFO    MainThread:58431 [wandb_init.py:init():973] updated telemetry
2026-03-29 14:30:31,541 INFO    MainThread:58431 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-29 14:30:33,211 INFO    MainThread:58431 [wandb_init.py:init():1042] starting run threads in backend
2026-03-29 14:30:33,251 INFO    MainThread:58431 [wandb_run.py:_console_start():2524] atexit reg
2026-03-29 14:30:33,251 INFO    MainThread:58431 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-29 14:30:33,251 INFO    MainThread:58431 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-29 14:30:33,251 INFO    MainThread:58431 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-29 14:30:33,253 INFO    MainThread:58431 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-29 14:30:33,254 INFO    wandb-AsyncioManager-main:58431 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-29 14:30:33,254 INFO    wandb-AsyncioManager-main:58431 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
